joy,",",54368
anticipation,0,1
surprise,?,73770
surprise,✏,16
surprise,☝,44
surprise,⬅,16
fear,,98569
fear,❕,15
fear,☎,2
joy,✂,11
surprise,⚾,7
surprise,✅,2
sadness,♣,2
fear,⚽,84
fear,⛲,3
joy,™,3
sadness,,51827
disgust-hate,⭐,4
surprise,3,2
fear,➡,32
fear,➖,1
joy,☕,44
joy,‼,1
trust,⚪,3
trust,↩,3
trust,♋,4
anticipation,◻,1
anticipation,✨,22
anger,,70588
joy,®,4
trust,1,9
trust,],1
disgust-hate,✌,307
joy,⚡,12
surprise,↙,2
sadness,✨,18
anger,✂,7
surprise,✊,20
surprise,⬛,1
sadness,⚡,9
sadness,⛺,2
joy,?,96588
joy,⛄,60
trust,⬇,2
anger,☔,17
joy,⬆,3
anticipation,❄,88
sadness,☝,14
trust,⌛,2
trust,⚙,1
anticipation,✊,5
surprise,✋,48
disgust-hate,➡,12
surprise,❗,14
sadness,❤,599
sadness,3,4
surprise,➡,21
sadness,☃,1
disgust-hate,⬆,3
joy,⚓,12
fear,4,13
anticipation,®,1
sadness,❕,5
anger,1,2
fear,",",98569
fear,✔,20
trust,8,1
surprise,2,4
joy,⚽,30
surprise,⬆,5
disgust-hate,❗,13
disgust-hate,☕,22
surprise,⚠,14
sadness,☀,24
fear,✳,1
disgust-hate,⛪,1
anger,❌,30
fear,♋,2
trust,↔,1
disgust-hate,®,10
surprise,❌,24
anger,☁,17
anticipation,⚡,1
joy,⃣,19
joy,⌚,3
trust,⛳,7
joy,♠,4
surprise,1,3
anger,⛺,1
trust,?,158098
anticipation,☺,154
sadness,⚠,5
joy,✉,6
trust,◻,3
joy,✌,330
anger,❗,19
fear,⬅,10
surprise,®,4
sadness,⏰,2
disgust-hate,☀,37
disgust-hate,♿,1
disgust-hate,↪,1
sadness,⌛,2
disgust-hate,[,1
disgust-hate,⛺,2
trust,[,1
trust,✊,33
trust,♉,1
sadness,❄,97
anger,⤵,1
trust,⛔,1
surprise,✒,5
surprise,☑,1
fear,⛽,9
trust,⚡,23
sadness,⃣,16
sadness,⛽,1
fear,♿,1
anger,↘,4
joy,➡,2
trust,☁,48
trust,♌,2
fear,♠,3
anticipation,✈,65
trust,㊙,1
anger,3,2
anger,♨,1
trust,❤,17401
trust,⬆,7
trust,7,3
anger,☎,5
disgust-hate,⚽,27
anticipation,⬅,6
surprise,⚽,10
anger,5,1
fear,☕,124
fear,3,11
joy,❤,1950
trust,⛄,102
trust,©,2
